@RELATION 'Onset events in 0002'

@ATTRIBUTE 'Onset time in seconds' NUMERIC
@ATTRIBUTE 'Onset events of AcousticGuitar' STRING
@ATTRIBUTE 'Onset events of AltoSax' STRING
@ATTRIBUTE 'Onset events of Balalaika' STRING
@ATTRIBUTE 'Onset events of BrightPiano' STRING
@ATTRIBUTE 'Onset events of Cello' STRING
@ATTRIBUTE 'Onset events of Clarinet' STRING
@ATTRIBUTE 'Onset events of DoubleBassArco' STRING
@ATTRIBUTE 'Onset events of DoubleBassPizz' STRING
@ATTRIBUTE 'Onset events of Drums' STRING
@ATTRIBUTE 'Onset events of ElectricBass' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarClean' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarCrunch' STRING
@ATTRIBUTE 'Onset events of ElectricGuitarLead' STRING
@ATTRIBUTE 'Onset events of ElectricPiano' STRING
@ATTRIBUTE 'Onset events of Erhu' STRING
@ATTRIBUTE 'Onset events of Flugelhorn' STRING
@ATTRIBUTE 'Onset events of Flute' STRING
@ATTRIBUTE 'Onset events of Fujara' STRING
@ATTRIBUTE 'Onset events of Jinghu' STRING
@ATTRIBUTE 'Onset events of MorinKhuur' STRING
@ATTRIBUTE 'Onset events of OrganBass' STRING
@ATTRIBUTE 'Onset events of PanFlute' STRING
@ATTRIBUTE 'Onset events of Piano' STRING
@ATTRIBUTE 'Onset events of Shakuhachi' STRING
@ATTRIBUTE 'Onset events of Sitar' STRING
@ATTRIBUTE 'Onset events of TenorSax' STRING
@ATTRIBUTE 'Onset events of Trombone' STRING
@ATTRIBUTE 'Onset events of Trumpet' STRING
@ATTRIBUTE 'Onset events of Ukulele' STRING
@ATTRIBUTE 'Onset events of Viola' STRING
@ATTRIBUTE 'Onset events of Violin' STRING

@DATA
0.0,'[]','[]','[]','[]','[]','[]','[]','[+42]','[+36,+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+58,+61,+66]','[]','[]','[]','[]','[+64]','[]'
0.215827,'[]','[]','[]','[]','[]','[]','[]','[42]','[+42]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[64]','[]'
0.431654,'[]','[]','[]','[]','[]','[]','[]','[42]','[+37,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[+68]','[]'
0.647481,'[]','[]','[]','[]','[]','[]','[]','[42]','[+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[68]','[]'
0.863308,'[]','[]','[]','[]','[]','[]','[]','[42]','[+36,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[+63]','[]'
1.079135,'[]','[]','[]','[]','[]','[]','[]','[42]','[+42]','[]','[]','[]','[]','[+70]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[63]','[]'
1.294962,'[]','[]','[]','[]','[]','[]','[]','[42]','[+37,+42]','[]','[]','[]','[]','[+66]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[+61]','[]'
1.510789,'[]','[]','[]','[]','[]','[]','[]','[42]','[+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[58,61,66]','[]','[]','[]','[]','[61]','[]'
1.726616,'[]','[]','[]','[]','[]','[]','[]','[+44]','[+36,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+59,+63]','[]','[]','[]','[]','[+59]','[]'
1.942443,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[59]','[]'
2.15827,'[]','[]','[]','[]','[]','[]','[]','[44]','[+37,+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[+64]','[]'
2.374097,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
2.589924,'[]','[]','[]','[]','[]','[]','[]','[44]','[+36,+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
2.805751,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+71]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[64]','[]'
3.021578,'[]','[]','[]','[]','[]','[]','[]','[44]','[+37,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[]','[]'
3.237405,'[]','[]','[]','[]','[]','[]','[]','[44]','[+42]','[]','[]','[]','[]','[+63]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,59,63]','[]','[]','[]','[]','[+59]','[]'
3.453232,'[]','[]','[]','[]','[]','[]','[]','[+37]','[+36,+42]','[]','[]','[]','[]','[+61]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[+56,+61,+64]','[]','[]','[]','[]','[+64]','[]'
3.669059,'[]','[]','[]','[]','[]','[]','[]','[37]','[+42]','[]','[]','[]','[]','[+64]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[]','[]'
3.884886,'[]','[]','[]','[]','[]','[]','[]','[37]','[+37,+42]','[]','[]','[]','[]','[+68]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[]','[56,61,64]','[]','[]','[]','[]','[+68]','[]'
